VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 546    61      58    60    58    7.53474       282    5.38965    
                 547    61      60    60    19    22.9240       282    5.38965    
                 548    61      57    18    56    35.6735       282    5.38965    
                 549    58      60    57    59    9.41615       282    5.38965    
                 550    61      57    58    61    7.89274       282    5.38965    
                 551    61      60    36    61    13.6971       282    5.38965    
                 552    61      21    60    61    18.2877       282    5.38965    
                 553     8      60    61    61    44.7404       282    5.38965    
                 554    43      60    60    61    9.56612       282    5.38965    
                 555    61      58    61    61    7.62746       282    5.38965    
                 556    60      60    60    58    7.13617       282    5.38965    
                 557    16      60    60    61    22.6479       282    5.38965    
                 558    22      60    60    61    17.8028       282    5.38965    
                 559    29      60    60    60    17.1097       282    5.38965    
                 560    60      60    59    32    12.4470       282    5.38965    
                 561    49      60    60    59    8.93749       282    5.38965    
                 562    61      60    60    14    26.2412       282    5.38965    
                 563    61      24    61    61    15.5274       282    5.38965    
                 564    40      60    60    61    8.40330       282    5.38965    
                 565    60      60    60     8    41.0483       282    5.38965    
                 566    61      60    49    29    18.5518       282    5.38965    
                 567    61      60    61    33    11.6296       282    5.38965    
                 568    10      60    60    61    34.5991       282    5.38965    
                 569    61      60    41    58    13.6019       282    5.38965    
                 570    58      54    60    28    20.5466       282    5.38965    
                 571    61      60    32    61    13.3995       282    5.38965    
                 572    61      60    60    38    9.88993       282    5.38965    
                 573    60      61    61    61    7.92707       282    5.38965    
                 574    61      60    60    45    7.68823       282    5.38965    
                 575    58      15    61    61    26.1579       282    5.38965    
                 576    61      37    60    61    10.5813       282    5.38965    
                 577    60      57    60    59    8.03229       282    5.38965    
                 578    61      30    60    61    13.5765       282    5.38965    
                 579    58      60    14    61    36.3470       282    5.38965    
                 580    58       4    60    61    51.5039       282    5.38965    
                 581    61      60    60    10    31.9363       282    5.38965    
                 582    42      60    61    61    11.6311       282    5.38965    
                 583    61      60    60     1    63.4647       282    5.38965    
                 584    61      61    60     3    54.5991       282    5.38965    
                 585    41      60    52    61    15.3749       282    5.38965    
                 586    11      60    60    61    39.2504       282    5.38965    
                 587    58      60    13    58    42.5440       282    5.38965    
                 588    61      61    60    43    10.5944       282    5.38965    
                 589    61      60    26    61    13.4846       282    5.38965    
                 590    60      60    35    61    16.5168       282    5.38965    
                 591    61      59    58    60    7.47215       282    5.38965    
                 592    58      60    60    20    21.8796       282    5.38965    
                 593    61      60    60    25    12.7668       282    5.38965    
                 594    61      60    46    60    11.4136       282    5.38965    
                 595    58      59    61    61    8.55767       282    5.38965    
                 596    61      60    60    15    22.8066       282    5.38965    
                 597    61      58    27    60    26.6636       282    5.38965    
                 598    27      60    60    61    21.0328       282    5.38965    
                 599    61      60    60    29    15.6437       282    5.38965    
                 600    61      61    57    58    9.77913       282    5.38965    
                 601    61      60    38    61    11.2738       282    5.38965    
                 602    61      59    57    61    7.61295       282    5.38965    
                 603    61      58    40    61    9.60269       282    5.38965    
                 604    60      18    60    61    26.5690       282    5.38965    
                 605    61       1    60    61    66.6477       282    5.38965    
                 606    58      59    60    58    8.49321       282    5.38965    
                 607    59      61    61    61    8.34256       282    5.38965    
                 608    61      60    61    30    14.8881       282    5.38965    
                 609    34      60    60    61    15.7032       282    5.38965    
                 610    41      60    60    59    12.0060       282    5.38965    
                 611    54      57    60    61    8.71260       282    5.38965    
                 612    30      61    61    61    15.4701       282    5.38965    
                 613    61      60    60    54    7.22440       282    5.38965    
                 614    60      60    58    59    7.92706       282    5.38965    
                 615    61      13    57    59    33.3397       282    5.38965    
                 616    61      47    60    61    8.83413       282    5.38965    
                 617    61      61    60    24    15.4968       282    5.38965    
                 618    58      57    60    60    8.52337       282    5.38965    
                 619    58      60    60     9    37.5557       282    5.38965    
                 620    61      60    60     5    52.8965       282    5.38965    
                 621    61      60    23    61    19.2241       282    5.38965    
                 622    61      51    60    61    6.12909       282    5.38965    
                 623    36      60    36    58    21.7552       282    5.38965    
                 624    38      61    60    19    28.9600       282    5.38965    
                 625    60      60    51    61    6.87854       282    5.38965    
                 626    61      60    43    61    10.2534       282    5.38965    
                 627    61      60    54    61    7.41338       282    5.38965    
                 628    36      30    60    61    20.3694       282    5.38965    
                 629    61      58    58    61    7.46842       282    5.38965    
                 630    61      60    60    46    9.68444       282    5.38965    
                 631    61      60    44    61    9.14801       282    5.38965    
                 632    58      40    60    61    9.22789       282    5.38965    
                 633    58      58    44    61    11.4200       282    5.38965    
                 634    27      61    60    61    21.7016       282    5.38965    
                 635    61      20    60    61    20.9709       282    5.38965    
                 636    61      60    60     7    44.6768       282    5.38965    
                 637    12      61    60    59    36.2188       282    5.38965    
                 638    41      61    60    58    13.4430       282    5.38965    
                 639    61      57    60    58    7.95906       282    5.38965    
                 640    61      60    61    37    12.0699       282    5.38965    
                 641    61      60    57    60    7.60420       282    5.38965    
                 642    61      26    60    58    12.5954       282    5.38965    
                 643    61      35    60    61    13.2021       282    5.38965    
                 644    61      11    60    61    37.6317       282    5.38965    
                 645    55      60    60    59    7.70360       282    5.38965    
                 646    61      60    37    61    12.4642       282    5.38965    
                 647    27      57    60    61    22.3370       282    5.38965    
                 648    10      60    25    61    44.6497       282    5.38965    
                 649    61      60     9    61    49.3250       282    5.38965    
                 650    61      60    59    28    18.2772       282    5.38965    
                 651     8      60    60    61    44.0955       282    5.38965    
                 652    55      60    57    60    9.06096       282    5.38965    
                 653    16      47    60    61    26.0924       282    5.38965    
                 654    58      29    60    43    21.0108       282    5.38965    
                 655    61      58    61    60    8.06487       282    5.38965    
                 656    61      39    60    61    8.77173       282    5.38965    
                 657    61      33    61    61    11.4713       282    5.38965    
                 658    48      60    61    61    10.0484       282    5.38965    
                 659    25      60    60    61    13.5068       282    5.38965    
                 660    58      60    57    61    8.55895       282    5.38965    
                 661    61      61    61    58    8.74528       282    5.38965    
                 662    61      60    20    58    27.8871       282    5.38965    
                 663    61      60    60    36    11.5632       282    5.38965    
                 664    59      61    60    25    15.0735       282    5.38965    
                 665    58      60    24    61    18.7456       282    5.38965    
                 666    32      60    60    59    12.8136       282    5.38965    
                 667    61      60    60    27    19.6068       282    5.38965    
                 668    61       9    60    61    37.6317       282    5.38965    
                 669    58      60    30    61    17.9378       282    5.38965    
                 670    61      25    60    61    12.7653       282    5.38965    
                 671    60      61    60    60    7.69916       282    5.38965    
                 672    61      60    57    13    31.4237       282    5.38965    
                 673    61      60    50    61    7.35811       282    5.38965    
                 674    60      60    57    60    8.08548       282    5.38965    
                 675    61      61    25    61    16.4779       282    5.38965    
                 676    60      59    60    20    21.4149       282    5.38965    
                 677    59      59    60    59    7.63619       282    5.38965    
                 678    58      61    59    61    8.70320       282    5.38965    
                 679    58      58    57    61    9.43879       282    5.38965    
                 680    25      61    61    61    14.7063       282    5.38965    
                 681    61      59    40    61    9.16901       282    5.38965    
                 682    61      50    60     4    49.3505       282    5.38965    
                 683    61      60    24     6    60.7505       282    5.38965    
                 684    58      60    58    58    9.24599       282    5.38965    
                 685    26      60    60    61    12.0210       282    5.38965    
                 686    61      15    61    61    24.7940       282    5.38965    
                 687    57      60    60    61    7.22110       282    5.38965    
                 688    61      29    61    61    17.1810       282    5.38965    
                 689    59      57    60    59    8.49419       282    5.38965    
                 690    60      60    61    60    7.65657       282    5.38965    
                 691    61      60    27    59    26.2036       282    5.38965    
                 692    60      60    59    59    7.33610       282    5.38965    
                 693    61      57    13    61    41.1908       282    5.38965    
                 694    61      60    60     9    36.1636       282    5.38965    
                 695    58       4    61    60    53.2721       282    5.38965    
                 696    61       2    57    58    64.0741       282    5.38965    
                 697    15      60    60    60    24.9910       282    5.38965    
                 698    61      23    57    61    17.3193       282    5.38965    
                 699    26      60    61    61    13.2457       282    5.38965    
                 700    61      59    61    23    17.1837       282    5.38965    
                 701    61      61    61    60    7.91750       282    5.38965    
                 702    61      60    60    33    10.2716       282    5.38965    
                 703    61      57    58    60    8.33015       282    5.38965    
                 704    61      14    60     7    66.3733       282    5.38965    
                 705    26      60    58    61    13.2199       282    5.38965    
                 706    61      61    57    60    8.95132       282    5.38965    
                 707    61      60    60    48    8.45148       282    5.38965    
                 708    61      60    60    44    8.42213       282    5.38965    
                 709     8      61    60    61    43.6306       282    5.38965    
                 710    19      60    60    61    24.6828       282    5.38965    
                 711    60      57    61    10    35.0699       282    5.38965    
                 712    61      61    38    61    12.4654       282    5.38965    
                 713    61      60    60     4    47.9060       282    5.38965    
                 714     9      60    60    61    39.2504       282    5.38965    
                 715    61      60    10    58    44.4680       282    5.38965    
                 716    59      60    39    61    10.9415       282    5.38965    
                 717    58      58    23    61    21.4961       282    5.38965    
                 718    59      22    61    61    19.1971       282    5.38965    
                 719    61      60    59     3    53.7980       282    5.38965    
                 720    61      61     9    61    48.8601       282    5.38965    
                 721    58      58    39    61    12.2703       282    5.38965    
                 722    61      61    11    58    50.1254       282    5.38965    
                 723    59      58    60    58    8.47791       282    5.38965    
                 724    61      60    58     2    59.3795       282    5.38965    
                 725    61      60    52    61    9.61568       282    5.38965    
                 726    59      60    23    61    20.1673       282    5.38965    
                 727    33      14    60    60    32.8951       282    5.38965    
                 728    61      58    57    61    8.04663       282    5.38965    
                 729    58      12    60    61    35.7167       282    5.38965    
                 730    61      60    60    24    14.0878       282    5.38965    
                 731    61      60    29    61    19.6068       282    5.38965    
                 732     3      60    60    58    59.2500       282    5.38965    
                 733    61       5    60    60    55.8531       282    5.38965    
                 734    61      35    60    30    21.3426       282    5.38965    
                 735    61      60    60    56    6.16465       282    5.38965    
                 736    61      60     5    60    73.9962       282    5.38965    
                 737    61      60    60    22    16.6712       282    5.38965    
                 738    58      61    57    61    9.82955       282    5.38965    
                 739    61      60    60    20    20.4875       282    5.38965    
                 740    61      61    60    29    17.0527       282    5.38965    
                 741    61      60    61    54    8.58243       282    5.38965    
                 742    61      59    60    20    20.9336       282    5.38965    
                 743    61      22    60    61    16.9149       282    5.38965    
                 744    61      57    42    61    12.6205       282    5.38965    
                 745    61       8    60    61    42.3117       282    5.38965    
                 746    61      30     3    61    82.1708       282    5.38965    
                 747    61      60    60    50    7.18624       282    5.38965    
                 748     8      60    60    58    45.3607       282    5.38965    
                 749    61      60    60    30    13.5301       282    5.38965    
                 750    61      60    60     8    40.5670       282    5.38965    
                 751    58      60    60    31    13.8361       282    5.38965    
                 752     1      60    60    61    69.2900       282    5.38965    
                 753    58      59    58    61    8.42690       282    5.38965    
                 754    61      61    60    10    33.3453       282    5.38965    
                 755    58      60    33    60    13.6560       282    5.38965    
                 756    61      60    11    61    49.3250       282    5.38965    
                 757    59      61    58    60    9.29081       282    5.38965    
                 758    60      59    60    60    6.75449       282    5.38965    
                 759    59      60    22    60    22.4754       282    5.38965    
                 760    61      60    60    47    9.06796       282    5.38965    
                 761    61      44    61    61    9.50568       282    5.38965    
                 762    61      60     5    61    73.5588       282    5.38965    
                 763    18      61    60    61    26.8343       282    5.38965    
                 764    61      60    61     3    54.5481       282    5.38965    
                 765     7      61    25    61    58.2033       282    5.38965    
                 766    60       3    60    61    56.2090       282    5.38965    
                 767    61      22    61    61    18.2731       282    5.38965    
                 768    10      57    29    61    50.1204       282    5.38965    
                 769    61      58    60    59    7.12669       282    5.38965    
                 770    61       5    60    61    55.4157       282    5.38965    
                 771    49      60    60    60    8.51770       282    5.38965    
                 772    61      27    60    61    20.0349       282    5.38965    
                 773    52      60    60    61    9.08161       282    5.38965    
                 774    58      60    61    58    9.37677       282    5.38965    
                 775    47      60    60    58    10.7022       282    5.38965    
                 776    59      58    60    61    7.21267       282    5.38965    
                 777    61      60    37    29    22.7183       282    5.38965    
                 778    16      60    61    58    24.9338       282    5.38965    
                 779    61      60     8    60    56.1397       282    5.38965    
                 780    60      38    60    61    10.1890       282    5.38965    
                 781    61      60    60    11    36.1636       282    5.38965    
                 782    61      60    60    41    10.6238       282    5.38965    
                 783    36      60    60    61    12.1825       282    5.38965    
                 784    61      60    42    61    11.3163       282    5.38965    
                 785    60      60    15    61    30.4618       282    5.38965    
                 786    61      60    51    59    7.25446       282    5.38965    
                 787    61      60    28     6    65.9374       282    5.38965    
                 788    14      60    60    59    29.1900       282    5.38965    
                 789    61      60    61    34    16.1211       282    5.38965    
                 790    60      25    47    59    18.7975       282    5.38965    
                 791    61      40    60    61    7.83573       282    5.38965    
                 792    31      59    60    61    13.5976       282    5.38965    
                 793    61      61    60    51    7.93185       282    5.38965    
                 794    61      60    61    29    17.0017       282    5.38965    
                 795    19      60    60    60    25.1202       282    5.38965    
                 796    61       6    60    61    51.0477       282    5.38965    
                 797     7      61    60    61    48.1527       282    5.38965    
                 798    61      60    40    61    8.72285       282    5.38965    
                 799    61      60    60    13    29.6465       282    5.38965    
                 800    61      61    61    59    8.33725       282    5.38965    
                 801    61      57    19    60    31.8922       282    5.38965    
                 802    31      60    60    20    28.2493       282    5.38965    
                 803    61      60    59    60    6.43503       282    5.38965    
                 804    46      60    60    58    11.3805       282    5.38965    
                 805    58      60    20    61    28.0140       282    5.38965    
                 806    59      60    53    61    9.11333       282    5.38965    
                 807    61      36    60    61    11.4861       282    5.38965    
                 808    61      61     3    61    73.5190       282    5.38965    
                 809    61      60    45    59    8.94232       282    5.38965    
                 810    59      60    59    60    7.37820       282    5.38965    
                 811    61      61    43    61    11.4836       282    5.38965    
                 812    61      61    51    58    9.03780       282    5.38965    
                 813    60      61    26    59    15.9123       282    5.38965    
                 814    58      61    38    61    13.7822       282    5.38965    
                 815    59      57    59    60    8.68236       282    5.38965    
                 816    59      59    60    60    7.21639       282    5.38965    
                 817    61      60    38    58    12.5390       282    5.38965    
                 818    61      34    58    59    16.9431       282    5.38965    
                 819    45      60    60    59    8.77599       282    5.38965    
                 820    12      23    60    61    45.9790       282    5.38965    
                 821    58      61    60    41    13.3499       282    5.38965    
                 822     3      61    58    61    58.7188       282    5.38965    
                 823    61      61     5    61    73.0939       282    5.38965    
                 824    61       6    20    61    72.2799       282    5.38965    
                 825    60      48    60    61    8.66021       282    5.38965    
                 826    61      59    60     6    49.2328       282    5.38965    
                 827    61      60    30    61    16.5457       282    5.38965    
                 828     2      60    60    61    63.4759       282    5.38965    
                 829    58      43    60    61    10.3511       282    5.38965    
                 830    61      53    56    61    7.91906       282    5.38965    
                 831    59      58    60    20    22.3105       282    5.38965    
                 832    61      61    61    27    21.6971       282    5.38965    
                 833    61      60    16    59    28.3293       282    5.38965    
                 834    61      61    19    61    30.8455       282    5.38965    
                 835    54      60    60    61    7.40844       282    5.38965    
                 836    61      50    60    61    6.83421       282    5.38965    
                 837    21      60    60    61    19.2240       282    5.38965    
                 838    59      60     5    61    74.5019       282    5.38965    
                 839    51      60    60    61    6.63645       282    5.38965    
                 840    61      60    27    61    25.3464       282    5.38965    
                 841    61      60    24    61    17.3535       282    5.38965    
                 842    61      60    57    47    10.8451       282    5.38965    
                 843    41      61    60    61    12.1778       282    5.38965    
                 844    61      60    60    28    17.6693       282    5.38965    
                 845     5      61    60    61    57.1969       282    5.38965    
                 846     4      61    57    59    54.3401       282    5.38965    
                 847    61      61    60     6    50.1957       282    5.38965    
                 848    59      60    58    46    11.8265       282    5.38965    
                 849    58      60    61    59    8.96872       282    5.38965    
                 850    61      33    57    61    11.8905       282    5.38965    
                 851    40      60    16    60    30.9232       282    5.38965    
                 852    61      60    61    25    14.1249       282    5.38965    
                 853    59      61    57    61    9.41012       282    5.38965    
                 854    59      60    61    58    8.93691       282    5.38965    
                 855    59      61    58    61    8.85345       282    5.38965    
                 856    61      61    60    54    8.63344       282    5.38965    
                 857    59       9    42    58    45.7668       282    5.38965    
                 858    61      60    60    18    25.3018       282    5.38965    
                 859    61      60    52    60    10.0531       282    5.38965    
                 860    61      61    60     1    64.8737       282    5.38965    
                 861    61      45    61    61    8.72568       282    5.38965    
                 862    61      60    33    60    12.2639       282    5.38965    
                 863    40      57    60    61    9.70746       282    5.38965    
                 864    18      60    60    59    28.1564       282    5.38965    
                 865    60      57    59    61    7.78306       282    5.38965    
                 866    61      60    14    59    35.8120       282    5.38965    
                 867    61      60    29    49    22.0521       282    5.38965    
                 868    61      37    57    59    13.2157       282    5.38965    
                 869    60      60    58    58    8.33511       282    5.38965    
                 870    42      60    60    61    10.3736       282    5.38965    
                 871     7      58    60    60    49.9348       282    5.38965    
                 872    53      61    60    58    10.4987       282    5.38965    
                 873    61      60    57     5    54.6737       282    5.38965    
                 874    61      60    60    37    10.7119       282    5.38965    
                 875    33      60    37    61    17.8358       282    5.38965    
                 876    58      61    37    61    14.9286       282    5.38965    
                 877    34      60    59    61    16.3112       282    5.38965    
                 878    58       9    60    61    39.0239       282    5.38965    
                 879     3      60    60    61    57.9847       282    5.38965    
                 880    58      61    61    59    9.59918       282    5.38965    
                 881    58      57    47    61    12.7797       282    5.38965    
                 882    58      60     3    61    75.3761       282    5.38965    
                 883    61      60    19    61    30.1506       282    5.38965    
                 884    61      60    60    17    19.3132       282    5.38965    
                 885    60      58    60    59    7.60797       282    5.38965    
                 886    58      23    61    60    18.7015       282    5.38965    
                 887    61      59    16    61    27.9183       282    5.38965    
                 888    55      59    60    61    7.29257       282    5.38965    
                 889    61      60    49    60    8.73511       282    5.38965    
                 890    61      57    60    28    18.9734       282    5.38965    
                 891    60      61    57    61    8.97574       282    5.38965    
                 892    61      61    58    59    8.81418       282    5.38965    
                 893    61      57    57    27    22.6881       282    5.38965    
                 894    61      61    50    61    8.69813       282    5.38965    
                 895    58      60    16    61    28.8643       282    5.38965    
                 896    14      60    60    61    28.3328       282    5.38965    
                 897    57      57    60    61    8.52526       282    5.38965    
                 898    61      59     7    61    62.1006       282    5.38965    
                 899    61      14    60    61    27.0861       282    5.38965    
                 900    55      60    58    61    8.04534       282    5.38965    
                 901    61      61    37    61    13.6112       282    5.38965    
                 902    61      60    45    61    8.08512       282    5.38965    
                 903    29      60    60    61    16.6723       282    5.38965    
                 904    60      61    58    61    8.41906       282    5.38965    
                 905    61       3    60    61    55.7277       282    5.38965    
                 906    23      60    60    59    17.2387       282    5.38965    
                 907    17      60    60    61    20.7098       282    5.38965    
                 908    59      60     1    61    89.8075       282    5.38965    
                 909    61      36    59    61    12.0941       282    5.38965    
                 910    37      59    60    61    11.6919       282    5.38965    
                 911    58      59    60    60    7.66537       282    5.38965    
                 912    61      60    29    35    27.3949       282    5.38965    
                 913    59      61    59    60    8.72124       282    5.38965    
                 914    61      60    47    61    10.0833       282    5.38965    
                 915    61      60    28    61    22.5403       282    5.38965    
                 916    61      58    10    59    44.9398       282    5.38965    
                 917    61      57    59    15    24.7187       282    5.38965    
                 918    59      60    57    60    8.54738       282    5.38965    
                 919    20       6    61    61    68.6938       282    5.38965    
                 920    61      60    21    61    22.9655       282    5.38965    
                 921    59      60    61    59    8.52886       282    5.38965    
                 922    61      60    52    59    10.4729       282    5.38965    
                 923    61      60    60    39    9.00925       282    5.38965    
                 924    61      60    61    45    9.04626       282    5.38965    
                 925    61      34    60    60    15.3243       282    5.38965    
                 926    61      39    58    58    11.2359       282    5.38965    
                 927    60      60    60    40    8.60985       282    5.38965    
                 928    60      59    60    58    7.58233       282    5.38965    
                 929    52      61     1    61    92.0914       282    5.38965    
                 930    61      60    59    54    7.83237       282    5.38965    
                 931    61      60    60    55    6.71361       282    5.38965    
                 932    61      42    60    58    11.0042       282    5.38965    
                 933    58      45    60    60    9.19729       282    5.38965    
                 934    61      60    60    35    13.1778       282    5.38965    
                 935    61      59    60    56    6.61081       282    5.38965    
                 936    61      60    31    61    14.9726       282    5.38965    
                 937    11      60    58    60    40.8867       282    5.38965    
                 938    46      60    61    60    11.8152       282    5.38965    
                 939    54      20    60    61    22.9897       282    5.38965    
                 940    61      60    60    40    8.12857       282    5.38965    
                 941    59      57    60    60    8.07439       282    5.38965    
                 942    60      60     5    61    74.0400       282    5.38965    
                 943    61      13    58    61    31.9043       282    5.38965    
                 944    39      60    60    58    10.6376       282    5.38965    
                 945    11      54    60    61    40.7355       282    5.38965    
                 946    60      55    61    33    13.0433       282    5.38965    
                 947    61      57    60    39    10.3134       282    5.38965    
                 948    12      60    61    61    36.6106       282    5.38965    
                 949    61      58    60    26    12.2963       282    5.38965    
                 950    49      61    60    61    9.32361       282    5.38965    
                 951    60      60    60     2    58.6619       282    5.38965    
                 952    59      44    58    61    10.2898       282    5.38965    
                 953    60      57    54    61    9.19882       282    5.38965    
                 954    58      57    61    61    9.41565       282    5.38965    
                 955    61      58    58    58    8.73367       282    5.38965    
                 956    29      61    60    61    17.4419       282    5.38965    
                 957    60      60     2    61    81.6928       282    5.38965    
                 958     2      16    58    59    81.7373       282    5.38965    
                 959    61      60    61    55    8.07164       282    5.38965    
                 960    43      60    61    61    10.8397       282    5.38965    
                 961    59      60    60    46    10.6276       282    5.38965    
                 962    34      60    60    59    16.5604       282    5.38965    
                 963    61      57    19    61    31.4547       282    5.38965    
                 964    58       4    61    61    52.8347       282    5.38965    
                 965    60      58    59    61    7.35874       282    5.38965    
                 966    59      46    60    61    10.4325       282    5.38965    
                 967    61      17    13    61    54.2199       282    5.38965    
                 968    41      60    60    47    14.8272       282    5.38965    
                 969    61      13    60    60    31.1427       282    5.38965    
                 970    61      52    60    60    8.92834       282    5.38965    
                 971    58      57    11    61    52.0213       282    5.38965    
                 972    60      60    57    37    12.9703       282    5.38965    
                 973    59      61    58    58    10.1186       282    5.38965    
                 974    20      60    60    61    22.0019       282    5.38965    
                 975    61      60    23    58    20.4894       282    5.38965    
                 976    58      60    57    58    9.82419       282    5.38965    
                 977    61      60    47    41    15.3175       282    5.38965    
                 978    29      60    18    61    44.8769       282    5.38965    
                 979    28      61    60    61    19.6185       282    5.38965    
                 980    61      61    60     4    49.3150       282    5.38965    
                 981    61      43    60    28    21.2386       282    5.38965    
                 982    60      61    59    61    7.84943       282    5.38965    
                 983    61      60    60    16    21.0746       282    5.38965    
                 984    61      29    60    61    15.8229       282    5.38965    
                 985    61      58    58    60    7.90583       282    5.38965    
                 986    59      58    61    61    8.55147       282    5.38965    
                 987    58      60    55    60    8.50318       282    5.38965    
                 988    59      45    60    43    12.1066       282    5.38965    
                 989    61      58    32    61    14.2794       282    5.38965    
                 990    59      58     2    59    83.8917       282    5.38965    
                 991    61      59     9    61    49.7712       282    5.38965    
                 992    53      60    17    53    29.8722       282    5.38965    
                 993    59      60    60    48    9.39466       282    5.38965    
                 994    61      35    60    59    14.0593       282    5.38965    
                 995    11      61    60    61    38.7855       282    5.38965    
                 996    14      58    60    61    29.2126       282    5.38965    
                 997    61      11    61    59    39.8476       282    5.38965    
                 998    61      59    46    61    11.4223       282    5.38965    
                 999    59      60    61    49    10.1170       282    5.38965    
                1000    61      60    60    23    15.3795       282    5.38965    
                1001    61      57    61    59    8.90897       282    5.38965    
                1002    61      60    31    59    15.8298       282    5.38965    
                1003    58      60    61    54    9.94628       282    5.38965    
                1004    58      60    51    61    7.78942       282    5.38965    
                1005    60      21    60    59    19.6262       282    5.38965    
                1006    44      60    60    61    8.72630       282    5.38965    
                1007    60      61    17    61    26.1577       282    5.38965    
                1008    61      57    60     3    54.4942       282    5.38965    
                1009    60      60    19    61    30.6319       282    5.38965    
                1010    61      60    57    26    13.1936       282    5.38965    
                1011    61      60    60    31    12.4439       282    5.38965    
                1012    38      60    60    61    10.3413       282    5.38965    
                1013    61      60    60    49    7.83501       282    5.38965    
                1014    59      60    60    34    15.7062       282    5.38965    
                1015    61      45    60    61    7.36773       282    5.38965    
                1016    58      60    60    53    9.13910       282    5.38965    
                1017    61      19    59    61    24.1685       282    5.38965    
                1018    55      60    60    13    31.1033       282    5.38965    
                1019    61      60     2    61    81.2115       282    5.38965    
                1020    59      54    60    61    7.81795       282    5.38965    
                1021    61      61     8    61    55.2374       282    5.38965    
                1022    58       2    60    61    62.4239       282    5.38965    
                1023    61       5    61    60    57.2123       282    5.38965    
                1024    39      60    60    61    9.37232       282    5.38965    
                1025    61      60    61     7    46.0349       282    5.38965    
                1026    61      49    60    61    7.52373       282    5.38965    
                1027    60      59    60    15    23.7340       282    5.38965    
                1028    61      60     4    61    66.3312       282    5.38965    
                1029    61      57    60    43    10.4895       282    5.38965    
                1030    58      28    60    46    23.6627       282    5.38965    
                1031    58      60    61    60    8.54893       282    5.38965    
                1032    61      29    60    58    17.0882       282    5.38965    
                1033    61      60    61    47    10.4260       282    5.38965    
                1034    15      60    57    60    26.7682       282    5.38965    
                1035    61      31    60    61    12.4221       282    5.38965    
                1036    61      24    60    61    14.1693       282    5.38965    
                1037    60      18    61    58    29.1829       282    5.38965    
                1038    59      60    60    28    18.6125       282    5.38965    
                1039    61      58    45    61    8.96496       282    5.38965    
                1040    61      60    11    58    50.5903       282    5.38965    
                1041     2      57    61    61    64.1465       282    5.38965    
                1042    18       2    61    58    85.1429       282    5.38965    
                1043     6      60    58    61    54.3386       282    5.38965    
                1044    32      60    60    60    12.3938       282    5.38965    
                1045    37      60    60    59    12.1029       282    5.38965    
                1046    61       5    57    61    57.1929       282    5.38965    
                1047    59      60    57    59    8.96717       282    5.38965    
                1048    59      60    17    61    25.8644       282    5.38965    
                1049    59      61    59    61    8.28388       282    5.38965    
                1050    60      60    60    43    9.66666       282    5.38965    
                1051    59      60    60    44    9.36531       282    5.38965    
                1052    61       7    60    59    47.5369       282    5.38965    
                1053    60      43    60    61    9.44021       282    5.38965    
                1054    60      60    61    58    8.48441       282    5.38965    
                1055    61      58    33    58    13.9716       282    5.38965    
                1056    61       2    61    61    62.3910       282    5.38965    
                1057    59      30    60    59    15.3769       282    5.38965    
                1058    35      60    59    61    14.5670       282    5.38965    
                1059    60      58    35    61    17.3966       282    5.38965    
                1060    61      60     3    58    75.2492       282    5.38965    
                1061    58      60    36    59    15.9465       282    5.38965    
                1062    23      59    61    60    18.4047       282    5.38965    
                1063    61      59    30    61    16.9918       282    5.38965    
                1064    61      60     3    61    73.9839       282    5.38965    
                1065    58      60    41    61    13.7288       282    5.38965    
                1066    61      43    60    58    10.2242       282    5.38965    
                1067    61      60    59    43    9.79336       282    5.38965    
                1068    61      60     5    18    93.4710       282    5.38965    
                1069    55      58    60    58    8.99149       282    5.38965    
                1070    58      60    60    42    11.3114       282    5.38965    
                1071    61      28    60    61    17.9757       282    5.38965    
                1072    35      60    60    58    15.2242       282    5.38965    
                1073    58      55    60    61    7.72405       282    5.38965    
                1074    61      58    57    59    8.90383       282    5.38965    
                1075    53      60    60    61    7.98339       282    5.38965    
                1076    61      60    18    61    33.5943       282    5.38965    
                1077    61      41    60    60    10.9251       282    5.38965    
                1078    33      60    58    61    11.9602       282    5.38965    
                1079    61      61    60    23    16.7885       282    5.38965    
                1080    51      60    60    55    7.96041       282    5.38965    
                1081    61      61    42    60    12.9437       282    5.38965    
                1082    60      58    61    61    8.09897       282    5.38965    
                1083    59      23    60    61    16.4853       282    5.38965    
                1084    35      12    60    61    42.8939       282    5.38965    
                1085    20      58    60    61    22.8817       282    5.38965    
                1086    58      60    59    57    9.05426       282    5.38965    
                1087    58      58    60    59    8.51884       282    5.38965    
                1088    60      60    60    17    19.7945       282    5.38965    
                1089    61      56    58     7    46.2346       282    5.38965    
                1090    44      60    60    60    9.16371       282    5.38965    
                1091    61      57    58    59    8.74994       282    5.38965    
                1092    57      60    61    61    8.54191       282    5.38965    
                1093    61      60    59    31    13.0519       282    5.38965    
                1094    60      55    60    61    6.81317       282    5.38965    
                1095    59      60    60     8    41.5102       282    5.38965    
                1096    49      61    60    59    10.1807       282    5.38965    
                1097    61      58    60    14    27.1211       282    5.38965    
                1098    61      60    55    61    6.67361       282    5.38965    
                1099    61      60     5     6    116.956       282    5.38965    
                1100    35      60    60    61    13.9590       282    5.38965    
                1101    61       1    57    59    69.2821       282    5.38965    
                1102    59      57    60    58    8.90223       282    5.38965    
