VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 127    55      54    55    25    16.9927       140    7.67355    
                 128    56      54    56    60    8.65384       140    7.67355    
                 129    60      55    34    31    26.8091       151    7.09011    
                 130    55      59    56    61    7.78150       151    7.09011    
                 131    55      59    61    31    15.6752       151    7.09011    
                 132    53      55    54    31    18.0036       151    7.09011    
                 133    57      54    56    26    15.2219       155    6.75842    
                 134    41      54    55    30    22.0584       155    6.75842    
                 135    60      55    54    24    17.5351       155    6.75842    
                 136    55      56    56    36    13.8677       155    6.75842    
                 137    56      59    56    31    14.2317       155    6.75842    
                 138    55      56    56    28    19.9738       155    6.75842    
                 139    56      56    58    58    9.06536       155    6.75842    
                 140    56      55    56    61    7.67355       155    6.75842    
                 141    55      57    55    60    9.87194       155    6.75842    
                 142    20      54    55    58    26.0362       155    6.75842    
                 143    57      58    56    61    8.58986       155    6.75842    
                 144    61      55    56    29    17.0749       155    6.75842    
                 145    56      58    56    27    21.8283       155    6.75842    
                 146    55      56    56    61    7.69414       168    6.68855    
                 147    56      55    59    57    9.45708       168    6.68855    
                 148    60      55    59    58    8.68638       168    6.68855    
                 149    56      54    56    31    15.2707       168    6.68855    
                 150    54      56    56    61    8.25617       168    6.68855    
                 151    56      56    56    61    7.09011       168    6.68855    
                 152    56      58    56    61    7.61115       168    6.68855    
                 153    54      57    59    58    10.5858       168    6.68855    
                 154    56       5    56    26    62.7842       168    6.68855    
                 155    61      58    56    61    6.75842       168    6.68855    
                 156    54      56    59    61    8.37521       168    6.68855    
                 157    56      57    59    60    8.59192       168    6.68855    
                 158    53      55    59    61    9.53360       168    6.68855    
                 159    55      57    55    58    10.6998       168    6.68855    
                 160    30      59    55    59    16.9339       168    6.68855    
                 161    61      55    59    27    21.1570       168    6.68855    
                 162    54      57    52    61    12.9386       168    6.68855    
                 163    57      56    55    60    9.30126       168    6.68855    
                 164    55      55    56    58    9.54282       168    6.68855    
                 165    57      54    56    61    9.19514       168    6.68855    
                 166    57      55    58     6    52.7593       168    6.68855    
                 167    56      54    56    58    9.48168       168    6.68855    
                 168    56      59    60    61    6.68855       168    6.68855    
                 169    56      32    59    61    12.7284       168    6.68855    
                 170    55      57    59    60    9.19594       168    6.68855    
